id ,name                ,birth rate per 1000,cell phones per 100,children per woman,electricity consumption per capita,gdp_per_capita,gdp_per_capita_growth,inflation annual,internet user per 100
001,Brazil              ,16.405             ,90.01936334        ,1.862             ,2201.808724                       ,4424.758692   ,-1.520402823         ,8.228535058     ,39.22               
002,Canada              ,10.625             ,70.70997244        ,1.668             ,15119.76414                       ,25069.86915   ,-3.953353186         ,2.944408564     ,80.17086651         
003,Chile               ,15.04              ,97.01862561        ,1.873             ,3276.06449                        ,6451.631126   ,-2.610485847         ,7.47050527      ,38.8                 
004,China               ,13.536             ,55.97490921        ,1.642             ,2632.724637                       ,2208.403948   ,8.648414427          ,6.684109668     ,28.97659939         
005,Colombia            ,20.605             ,92.34584564        ,2.405             ,1041.994137                       ,3137.695335   ,0.2081538559         ,3.666941163     ,30                   
006,Ecuador             ,20.989             ,92.84925653        ,2.69              ,1078.038961                       ,1692.067197   ,-1.079538461         ,7.595866872     ,24.6                 
007,Egypt               ,24.83              ,69.43661504        ,2.919             ,1607.918763                       ,1911.964501   ,2.856917581          ,10.10750976     ,24.28                
008,Finland             ,11.127             ,144.1530224        ,1.86              ,15241.61194                       ,26205.68832   ,-8.791558776         ,0.4277308694    ,82.53133098          
009,France              ,12.21              ,95.44434226        ,1.978             ,7339.946832                       ,22508.76261   ,-3.264056248         ,1.050366124     ,69.0633593           
010,Germany             ,8.136              ,127.4188883        ,1.376             ,6753.05764                        ,24368.19561   ,-4.886323581         ,0.5959234322    ,79.48523153          
