name                ,birth_rate_per_1000,cell_phones_per_100
Brazil              ,16.405             ,90.01936334        
Canada              ,10.625             ,70.70997244       
Chile               ,15.04              ,97.01862561       
China               ,13.536             ,55.97490921       
Colombia            ,20.605             ,92.34584564        
Ecuador             ,20.989             ,92.84925653      
Egypt               ,24.83              ,69.43661504      
Finland             ,11.127             ,144.1530224        
France              ,12.21              ,95.44434226        
Germany             ,8.136              ,127.4188883      
Iceland             ,14.738             ,107.6604456        
Iraq                ,31.585             ,65.47478839       
Japan               ,8.201              ,91.8955442       
Kazakhstan          ,19.775             ,107.7147692       
Mexico              ,19.091             ,74.25785259    
New Zealand         ,13.831             ,108.7301521     
Nigeria             ,40.134             ,48.23561006     
Peru                ,21.342             ,85.86901405       
Russia              ,10.828             ,161.1162887        
Saudi Arabia        ,23.569             ,167.3474553       
South Africa        ,22.113             ,93.33587369      
Sweden              ,11.72              ,112.1241184      
United Arab Emirates,14.027             ,153.7997194     
United Kingdom      ,12.195             ,130.1742603       
United States       ,14.191             ,89.14911634     
